Time	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_in	TS_DEC_out	
 211	0.000000	0.000000	14.423730	0.000000	0.000000	0.000000	0.000000	0.000000	0.438165	
 212	0.000000	0.000000	13.845397	0.000000	0.000000	0.000000	0.000000	0.000000	0.459482	
 213	0.000000	0.000000	13.298105	0.000000	0.000000	0.000000	0.000000	0.000000	0.433206	
 214	0.000000	0.000000	12.787267	0.000000	0.000000	0.000000	0.000000	0.000000	0.401262	
 215	0.000000	0.000000	12.339828	0.000000	0.000000	0.000000	0.000000	0.000000	0.342072	
 216	0.000000	0.000000	11.964107	0.000000	0.000000	0.000000	0.000000	0.000000	0.274041	
 217	0.000000	0.000000	15.592567	0.000000	0.000000	0.000000	0.000000	-3.727044	0.000000	
 218	0.000000	0.000000	19.218239	0.000000	0.000000	0.000000	0.000000	-3.754155	0.000000	
 219	0.000000	0.000000	22.821439	0.000000	0.000000	0.000000	0.000000	-5.620382	1.858824	
 220	0.000000	0.000000	26.392822	0.000000	0.000000	0.000000	0.000000	-3.759431	0.000000	
 221	0.000000	0.000000	29.913131	0.000000	0.000000	0.000000	0.000000	-5.608497	1.870710	
 222	0.000000	0.000000	26.849417	0.000000	0.000000	0.000000	0.000000	0.000000	2.817231	
 223	0.000000	0.000000	24.787022	0.000000	0.000000	0.000000	0.000000	0.000000	1.841155	
 224	0.000000	0.000000	23.362603	0.000000	0.000000	0.000000	0.000000	0.000000	1.220174	
 225	0.000000	0.000000	22.356150	0.000000	0.000000	0.000000	0.000000	0.000000	0.813945	
 226	0.000000	0.000000	21.688781	0.000000	0.000000	0.000000	0.000000	-3.498026	3.981181	
 227	0.000000	0.000000	21.289855	0.000000	0.000000	0.000000	0.000000	0.000000	0.220211	
 228	0.000000	0.000000	21.125801	0.000000	0.000000	0.000000	0.000000	-0.011375	0.000000	
 229	0.000000	0.000000	21.162187	0.000000	0.000000	0.000000	0.000000	-0.210462	0.000000	
 230	0.000000	0.000000	21.370899	0.000000	0.000000	0.000000	0.000000	-0.383089	0.000000	
 231	0.000000	0.000000	21.734407	0.000000	0.000000	0.000000	0.000000	-0.539604	0.000000	
 232	0.000000	0.000000	22.196220	0.000000	0.000000	0.000000	0.000000	-0.640904	0.000000	
 233	0.000000	0.000000	18.559918	0.000000	0.000000	0.000000	0.000000	0.000000	3.453405	
 234	0.000000	0.000000	19.045347	0.000000	0.000000	0.000000	0.000000	-0.638362	0.000000	
 235	0.000000	0.000000	19.446054	0.000000	0.000000	0.000000	0.000000	-0.557640	0.000000	
 236	0.000000	0.000000	19.766248	0.000000	0.000000	0.000000	0.000000	-0.480430	0.000000	
 237	0.000000	0.000000	20.037382	0.000000	0.000000	0.000000	0.000000	-0.434008	0.000000	
 238	0.000000	0.000000	19.776323	0.000000	0.000000	0.000000	0.000000	0.000000	0.095951	
 239	0.000000	0.000000	15.862902	0.000000	0.000000	0.000000	0.000000	0.000000	3.750464	
 240	0.000000	0.000000	11.964107	0.000000	0.000000	0.000000	0.000000	-1.855561	5.623645	
